Page number,Footnote text
19,"* Erasm. Epist. lib. 2. epist, 1. lib. 16. epist. 3. b Polydore Vir-"
19,"ail, lib. 27. Stowe, r 501. Holingshed, . 47. * Polydore"
19,"Virgil, lib. 27."
20,"I Sir Thomas More. Stowe, p. 504."
21,""" Erasm. lib. 2. epist. 1. Cavendish, Hall. I Buchanan, lib. 14"
21,Drummond. Hetbert.
23,"t Buchanan, lib. 14. Drummond."
25,"Memoires du Bellal, lib. 1. Guicciardini, lib. 12."
26,I Histoire de la Ligue de Cambray.
26,"* Pere Daniel, vol. iii. P. 31."
27,"Polydore Virgil, lib. 27."
28,"* Guicciardini, lib, 13."
30,"I Memoires du Bellay, liv. 1."
32,"* Strype's Memoriass, vol, i. p. 125."
33,"the historians from the author here cited: There are many circumstances,"
33,"however, very suspicious, both because of the obvious partiality of the histe"
33,"rian, and because the parliament, when they afterwards exemined Wolsey's"
33,"conduct, could find no proof of any material offence he had ever committed."
34,"Belcaria, lib. 16. Guicciardin, lib. 13"
36,"w FPolydore Virgil, lib. 27."
37,"Virgll, lib. xxvii. Hertert. Hollingshed, p. 855"
39,Y Memoires de Fleuranges.
39,"An angel was then estimated at seven shilling, or near twelve of our"
39,present money.
40,* Memoires de Fleuranget. ? Mezeray.
41,"? Polydore Virgil, Hall,"
43,"d Herbert. Hall. Stowe, 513. Hollingshed, p. 862."
49,* Father Paul and Sleldan.
50,"f In1517. * Father Paul, Sleidan. h Father Paul, lib. 1."
50,"I See note [A] at the end of the volume. Father Paul, ub. 1."
51,"I Father Paol, Sleidan."
52,"* Father Paul, lib, 1."
58,"P Guicciardini, lib. 14. I Buchanan, lib. 14. Drummond."
58,Pitscottie
61,"s Buchanan, lib. 14."
62,"I Herbert. Stowe, p. 514."
64,. note [DI at the end of the volume. Y Speed. Hall.
64,Herbert.
65,"2 Guicciardini, lib. 14."
66,"a Memoires du Bellay, livz. Belcarius, lib. 17."
70,"; Guiceiardini, lib. 15. Memoires du Bellay, liv. 2."
70,"I Guicciardini, lib. 15."
72,"* Guieesardini, Iib. 1s. Da Bellay, lib, a."
74,E Vera. hist. de Charl. V.
75,"I Gnicciardini, lib. 16."
76,"k Du Bellay, liv. iii. Stowe, p. 221. Baker, . 273."
