Page number,Footnote text
17,"* Walsing. p. 150. b Rymer, vol. vii. p. 161."
18,See note [A] at the end of the volume
19,"I Rymer, vol. vii. p. 190. ""Walsing. p. 209"
20,"I Froissard, liv 2. chap. 50, 51, Walsing. p"
21,"E Liv. 2. chap. 74. h Froissard, liv. 2. chap. 74. Walsingham"
21,P. 275.
21,i There were two verses at that time in the mouths of all the common
21,"people, which, in spite of prejudice, one cannot but regard with some degree"
21,of approbation :
21,"When Adam delv'd and Eve span,"
21,Where was then the gentleman ?
23,"I Froissard, liv. 2. chap. 74. m Ibid. chap. 75. n Ibid."
23,"ghar. 76. Walsingham, p. 248, 249. * Froissard, liv. 2. chap. 77."
23,"I Walsingham, P. 250, 251."
24,"Froissard, vol. ii. chap. 77. Walsingham, p. 252. Knyghton, p. 2637."
25,"1 Walsingham, p. 267. S 5 Rich. II. cap. ult. as quoted in the"
25,"observations on ancient statutes, p. 262. I Walsingham, p. s"
27,".- Froissard, liv. 2. chap. 149, 150, &c. liv. 5. chap. 52. Walsingham,"
27,"P. 316, 317."
27,""" Froissard, liv. 3. chap. 41. 53. Wallsingham"
27,"P. 322, 323."
28,"* Cotton, p. 310, 311. Cox's Hist. of Ireland, p. 129. Walsingham,"
28,"P. 324. Y Walsingham, p. 328."
30,"* See note [B] at the end of the volume. a Cotton, p.315."
30,"Knyghton, p. 268 3."
30,"b It is probable that the earl of Suffolk was not rich, nor able to support"
30,"the dignity without the bounty of the crown: For his father, Michael de la"
30,"Pole, though a great merchant, had been ruined by lending money to the"
30,"cester and York, though vastly rich, received at the same time each of thenr"
30,"thousand pounds a year, to support their dignity. Rymer, vol. vii. p. 481."
31,""" Cotton, p. 315. "" Knyghton, p. 2686. Statutes at large,"
31,"10 Rich. II. chap. i. * Cotton, p. 318."
32,"I In the preamble to 5 Henry IV. cap. vii. it is implied, that the sherift"
32,"in a manner appolnted the members of the house of commons, not only in"
32,"this pariamer, but in many others."
33,"g Knyghton, p. 2694. Ypod. Neust. p. 541."
33,"h The parliament in 141, exacted of Edward III. that, on the third"
33,"day of every session, the king should resume all the great offices; and that the"
33,ministers should then answer to any accusation that should be brought against
33,"them! Which plainly implies, that, while ministers, they could not be ac-"
33,"cused or impeached in parliament. Henry IV. told the commons, that the"
33,usage of parliament required them to go first through the king's business
33,"in granting supplies; which order the king intended not to alter, Parl. Hist."
33,"vol. ii. p. 65. Upon the whole, it must be allowed, that, according to ancient"
33,"practice and principles, there are at least plausible grounds for all these opi-"
33,"nions of the Judges. It must be remarked, that this affirmation of Henry IV."
33,"was given deliberately, after consulting the house of peers, who were much"
33,"better acquainted with the usage of parliament than the ignorant commons,"
33,"And it has the greater authority, because Henry IV. had made this very"
33,principle a considerable article of charge against his predecessor; and that a
33,very few years before. So ill grounded were most of the imputations thrown
33,on the unhappy Richard!
34,"h Cotton, p. 322."
35,"i Knyghton, p. 2715. Tyrrel, vol. iii. part 2. p. 919. from the records."
35,"Parliamentary History, vol. i. P. 414."
35,* See note [C] at the end of the volume.
36,"k At least this is the character given of him by Froisiard, liv. 2. who knew"
36,"him personally Walsingham, p. 334. gives a very different character of him;"
36,but he is a writer somewhat passionate and partial ; and the choice imade of
36,this gentleman by Edward HII. and the Black Prince for the ecveaion of
36,"Richard, makes the character given him by F toislare, ach ore probable"
37,* See note [D] at the end of the volume.
38,"I Dugdale, vol. ii. p. 179."
39,"m Knyghton, p. 2677. Walsingham, p. 342. a Rymer,"
39,"yol. vii. p. 659. o Ibid. p. 687. P Cotton, p. 365."
39,"Walsingham, p. 352. I 15th August, 1388."
40,"Froissard, liv. 3. chap. 124, 125, 126. Walsingham, p. 155"
40,"Rymet, vol. vii. p. 820. t loid, p 811."
40,"a Ibid. p. 727. Walsin gham, P. 347."
42,"* LiV. 4. chap, 86."
43,"Y Cotton, p. 378. Tyrrel, vol. iii. part 2. p. 972, from the records. Par-"
43,"liamentary History, vol. i. p. 473. That this confession was genuine, and"
43,"obtained without violence, may be entirely depended on. Judge Rickhill, who"
43,"brought it over from Calais, was tried on that account, and acquitted in the"
43,first parliament of Henry IV. when GOlocester's party was prevalent. His ac-
43,"quittal, notwith standing his innocence, may even appear marvellous, consider-"
43,"ing the times. See Cotton, p. 397."
44,"* Fro ssard, liv. 4. chap. 950. Walsing. p. 354. e* Rymer,"
44,vol. viii. P. 1. * See note E] at the end of the teleme:
44,b The noble brought numerous retainers with them to tiive them ficurif
44,"2s we are wld by Wal fingham, P. 354. The king had only a few Cheshire"
44,"men for his guard. S Statutes at Large, a1 Richard II."
45,". Ibid. p. 371. Froissard, liv. 4. chap. 90"
45,Walsing. p. 154
46,"Tyrrel, vol. iii. part 2. 968. from the records. g Cotton,"
46,"P. 399, 400. Dugdale, vol. ii. p. 171."
47,"* Cotton, p. 370, 371. i 1bid. p. 371. * Walsing."
47,P355.
48,"I Statutes at large, 21 Rich. II. m Cotton, p. 72."
48,"n The names of the commissioness were, the dukes of Lancaster, York,"
48,"Albemarle, Surrey, and Exeter, the marquis of Dorset, the earls of March,"
48,"Salisbury, Northumberland, Glocester, Winchester, and Wiltshire, John"
48,"Bussey, Henry Green, John Russel, Robert Teyne, Henry Chelmeswicke,"
48,"and John Golofre. It is to be remarlked, that the duke of Lancaster always"
48,"concurrred with the rest in all their proceedings, even in the banishment of"
48,"his son, which was afterwards so much complained of,"
49,"P Cotton, p. 372. Parliamentary history, vol. i. p. 490."
49,I In the first year of Henry VI. when the authority of parliament was
49,"great, and when that assembly could least be suspected of lying under rio"
49,"lence, a like concession was made to the privy council from like motives of"
49,"convenience, See Cotton, p. 564."
50,"I Cotton, p. 380. Walsingham, p. 355."
51,"T yol. iii, part 2. p. 991, srom the records. 11 Walsing-"
51,"jam, P 343."
54,Walsingham.
55,"* Knyghton, p. 2744. Otterburne, p. 212. Y Tyrrel, vol. iii."
55,"part 2. p. 1008, from the records. Knyghton, p. 2746. : Otterburne,"
55,"p 214. ""Att, 16. 26."
56,"* Art. 13. 17,18. . b Art. 22. I Art. 27."
56,I Art. 14. e Atrt. 16.
57,"f We learn from Cotton, p. 362, that the king, by his chancellor, told"
