Page number,Footnote text
17,"* Kenet, p. 662."
18,"b Wilson, in Kennet, p. 665. o Ibid. p. 662."
21,"- Sully's Memoirs. "" La Boderie, vol. i. p. 120."
21,"s Winwood, vol, ii. p. 55."
22,h Sully's Memoirs.
23,"I State Trials, p. 180. 2d edit. Winwood, vol. ii. p. 8. 11. K No."
23,"vember 29. I Decembers. December 9. n Winwood,"
23,yol. ii. p. 1.
24,"* State Thrials, 1st edit. p. 176, 177. 182."
25,"P Fuller, book 10. Collier, vol. ii. p. 672."
26,"q James ventured to say in his Basilicon Doron, published while he was"
26,"in Scotland: ""I protest before the great God, and since I am here as upon"
26,"my Testament, it is no place for me to lie in, that ye shall never find with"
26,"any Highland or Borderer Thieves, greater ingratitude and more lies and vile"
26,"perjuries, than with these fanatic spirits: And suffer not the principal of"
26,"them to brook your land."" K. James's Works, p. 161."
27,"I Fuller's Ecclesiast, History. S Kennet, p. 665."
28,"t Fuller's Ecclesiast. History. ""K. James's Works, p. 484, 485, &c"
28,"Journ. 22d March, 1603. Kennet, p. 668."
29,"* K James's Workt, p. 495, 496. * Journ. January 19, 1580."
30,"2 Journ. March 18, 1580. See farther D'Ewes, p.430"
31,". DEwes, p. b 35 H. S. "" Journ. Feb 8, 1580."
31,"I In a fubse quent parliament, that of the 35th of the queen, th commans,"
31,"aster a great debate, expressly voted, that a person outlawed might be elected,"
31,"D'Ewes, p. 518. But as the matter had been an uch contested, the king"
31,"might think the vote of the house no law, and might esteem his ew dec"
31,"sion of more weight than theirs. We may also suppose, that he was pot"
31,acquainted with this vore. Queen El zabeth In her speech to her last parlia-
32,"ment complained of their admitting outlaws, and represents that conduct of"
32,the house as a great abuse.
32,": Jan. 11, 1604. Rymer, tom. xvi. p. 561."
32,"f I he duke of Su'ly tells us, that it was a maxim of James, that no prince"
32,in the first year of his reign should begin any considerable undertaking. A
32,"maxio reasonable in itself, and very suitable to his cautious, not to say timid"
32,"character. The facility, with which he departed from this pretension, is"
32,"another proof, that his meaning was innocent. But had the privileges of"
32,"limited, could such an imagination ever have been entertained by him as to"
32,"think, that his proclamations could regulate parliamentary elections?"
33,"h Journ. 26th March, 1604. I Journ. ;3d April, 1604. k See"
33,"note [A] at the end of the volume. I Camden in Kennet, p. 375."
33,"a Journ. agth March, 5th April, 1604."
34,"n Journ. 30th March, 1604. 9 Id. ibid. P Id, ibid. I Set"
34,"note B] at the end of the volume. 1 Journ. 6th and 7th May, 1604."
37,"See nte [C] at the end of the volume. I Journ. a1 May, 1604."
37,""" Id. iid."
38,"WA remonstrance from the Trinity-house, in 1602, says, that in a littl"
38,"above twelve yeass, after 1588, the shipping and number of seamen in Eng"
38,"land decayed about a third. Anglesey' happy future state of England, p. 128"
38,"from Sir Julius Caesar's collections. See Journ. 21 May, 1604."
38,"* Journ. 1 June, 1604. Y Journ. 30 April, 1604."
39,"* Journ. 21 April, 1 May, 1604. Parliamentary History, vol. v. p. 91."
39,"! Journ. 7 Jone, 1604. Kennet, p. 673."
40,b Parliamentary Hist. vol. v. p. 108.
41,""" Journ. 26 June, 1604. I La Boderie, the French ambassador,"
41,"says, that the house of commons was composed mostly of puritans, vol. is"
41,"p. 81. e Parliamentary History, vol. v. p. 98, 99, 100. 1 See"
41,"note [D] at the end of the yolume, 8 Rymer, tom. xvi. p. 585, &c."
43,", Memoirs de la Boderie, vol. i. p. 64. 181. 195. 217. 302. vol. ii."
43,P. 244 278.
44,"a State Trials, vol. ii. p. 201, 202, 203. Winwood, vol ii. p. 49."
46,"P State Trials, vol. i. p. 190. 198. 210."
49,"I K. James's Works, p.229. * Id. Ibid,"
49,I Ibid. p. 230.
50,"u Winwood, vol. ii. p. 173. XK. James's Works, p. 231."
50,"See note [E] at the end of the volume. 2 State Trials, vol i. p. 199."
50,"Discourse of the manner, &c. p. 69, 70."
51,"a Winwood, vol, il. p. 300. 1d. Ibid. c State Trials,"
51,vol. i. p. tor d Athen. Ox vol ii. fol. 25
51,""" Digby, after his condemnation, said in a letter to his wife: ""Now for"
51,"""my intention, let me tell you, that if I had thought there had been the"
