Page number,Footnote text
17,""" E asm. Epist. lib. 2. epist. 1. lib. 16. epist. 3. E8 Polydore Vir"
17,"gil, Iib. 27. Stowe, 501. Holingshed. P 347. Polydore"
18,"I Sir Thomas More. Stowe, p. 504."
19,"e Erasm. lib. 2. epist. 1. Cavendish, Hall. Buchanan, libs 14."
19,Drummond. Herbert.
21,"t Buchanan, lib. 14. Drummond."
23,"h Memoires du Bellai, lib. 1. Guicciardini, lib. 12."
24,"I Histoire de la Ligue de Cambrey. k Pere Daniel, vol. iii. p.1."
25,"Polydore Virgil, lib. 27. * Petrus de Angleria, epist. 568."
26,"& Guicciardini, lib. 12."
27,"* Polydore Virgil, lib 27."
28,"1 Memoires du Bellay, lib. 1"
29,"I Polydore Virgil, lib. 27."
30,"s Strype's Memorlals, vol. i. p. 125"
31,"I Poldore Virgil, lib. 27. This whole narrative has been copled by all"
31,"howevey very suspicious, both because of the obvious partiality of the histo-"
31,"rian, an because the parliament, when they asterwards examined Wolsey's"
31,conduct could find no proof of any material offence he had ever committed.
32,"u Belcaria, lib. 16. Guicclardin, lib. 13."
34,"w Polydore Virgil, lib. 27."
35,"* Polydere Virgl, lib. xxvii. Herbert. Hollingshed. p. 855."
37,Y Memoires de Fleuranges.
37,"2 An angel was then estimated at seven shillings, or near twelve of our"
37,present money.
38,I Memoites de Fleuranges. ? Meacray.
38,* Memoites de Fleuranges.
39,""" Pol, dore Virgil. Hall."
41,"I Herbert. Hall. Stowe, 513. Holingshed, p. 862."
47,* Father Paul and Sleidan.
48,"f In 1517. & Father Paul, Sleidan, h Father Paul, lib. 1."
48,"I See note [A] at the end of the volume. : k Father Paul, lib. 1."
49,"I Father Pavl, Sleidan."
50,"m Father Paul, lib. 1."
54,"o Petrus de Angleria, epist. 765."
56,"P Guicciardini, lib. 14. 1 Buchanan, lib. 14. Drummond."
56,Pitscottie.
57,"* Buchanan, lib. 14. Herbert. s Le Grand, vol. iii. p. 39."
59,"s Buchanan, lib, 14."
60,"I Herbert. Stowe, P. 514."
61,"u This survey or valuation is liable to much suspicion, as fixing the rents a"
61,"great deal too high : Unless the sum comprehend the revenues of all kinds,"
61,industry as well as land and money.
61,"& Herbert. Stowe, 518. Parliamentary Historye Strype, vol. i. p. 45."
62,"* See note [B] at the end of the volume, Y Speed. Hall."
62,Herbert.
63,"2 Guicciardini, lib. 14."
64,"* Memoires du Bellay, liv. 2. 28 Belearius, lib, 17."
68,"* Guicciardini, lib. 15. Memoires du Bellai, liv. 2"
68,"f Guicciardini, lib. 15."
70,"I Guicciardini, lib. 1S. Du Bellay, lib. ."
72,"h Vera Hist de Carl, V."
73,"I Guicciardini, lib. 16."
74,"* Du Prllay, liv. iii. Stowe, p. 221. Paker, P. 273."
75,"Du Tillet, Recueil des Traites de Leonard, tom. a. Herbert."
76,m Herbert. Hall.
77,"Herbert. Hall. Stowe, p. 525. Holingshed, p. 89"
79,"S Herbert, De Vera, Sandoval."
82,"' Guicciardini, lib. 17."
83,"I Guicciardini, lib. 18. Bellay. Stwe, p. 527."
84,I 30th April.
86,"* Burnet, book 3. coll. 12, 13."
89,"t Morison's Apomaxis, p. 13. u Morison, p. 13. Heylin's"
89,"Queen Mary, p. 2."
90,"* Lord Herbert, Fiddes's life of Wolsey. * Rymer, vol. xiv."
90,"192. 201 Heylin, P. 2"
91,"T Burnet, Fiddes."
92,"a Le Grand, vol. iii."
92,"P. 46. 166. 168. Saunders. Heylin, P.4. b Buarner, vor. i. pe a."
92,"Strype, vol. i. p. 88. Camden's preface to the life of Esizapeth"
92,"Burnet, vol. i. p. 44."
94,"I Collier, Eccles. Hist. vol. ii. p.2 5 from the Cott. Lib. Vitel. p. 9."
94,"* Burnet, vol. i. p. 47."
95,"I Rymer, vol. xiv. 237. E Collier, from Cott. Lib. Vitel. B10."
96,"h Burnet, vol. i. p. 51. I Father Paul, lit. 1. Guicciardini."
98,"* Father Paul. n Lord Herbert. Burnet, vol. i. p. 29"
98,"n the coflect. Le Grand, vol. iii. p. 28. Strype, vol. i. p. 3. with App"
99,"Lord Herbert, P. 221. Burnet, p. 59. Herbert, P. 225."
99,"I 1 Burnet, p. 58."
100,"I Ryme, vol. xiv. Pp. 270. Strype, vol. i. p. 119, 111. Append. No. 28."
100,"s Burnt, vol. i. p. 63."
101,"I Herbert, p. 225. Burnet, vol. i. p. 69."
102,""" Burnet, vol, i. p. 73. Hall. Stowe, p. 543."
103,"J Rymer, vol, xiii. p. 1."
104,"* Eqrner, vol. p 76. 71. * Herbert, p. 254."
104,"b Burnet, vol. i. p 7s."
105,"§ Collier, vol. ii. p. 45. Burnet, yol. i. p. 53. d cavendish, p. 40."
106,"* Cavendish, p. 41."
107,"f Strype, vol. i. p. 114 115. App. N' 31, &c. g Stowe,"
107,"P. 547. h cCavendish. Stowe, p. 549"
108,I See note [O] at the end of the volume.
109,"I These exactions were quite arbitrary, and had risen to a great height."
109,"A member said in the house, that a thousand merks had been exacted fiom"
109,"him on that account. HHall, fol. 188. Strype, vol. i. p. 73."
109,m P. 293.
111,"Parliamentary History, vol. iii. p. 59. Burnet, vol. ii. p. 82."
111,""" Burnet, vol. ii. p. 83."
115,"P Fox, p. 1860, ad edit. Burnet, vol. i. p. 79. Speed, p. 769. Hey-"
116,1 See note [D] at the end of the volume.
117,"1 Herbert. Burnet. * Wood, hist. and ant. Ox. lib. i. p. 225s."
117,"t Burnet, vol. i. p. 6. u Rymer, vol. xv. 405. Burnet, vol. i"
117,"P. 95. w Rymer, vol. xiv. p. 454. 472."
118,"* Burnet, vol. i. p. 94. y Cavendish. Stowe, p. 554."
119,"2 Cavendish,"
120,"* Antiq. Brit. Eccles. p. 325. Burnet, yol. i. p. 106."
120,"shed, p. 923."
121,"* Hall's chronicle. Hollingshed, p. 913. Baker, p. 208"
121,"I Burnet, vol. i. Collect. N* 41. Strype, vol. i. p. 144."
123,"e Burnet, vol. i. p. 116. Hall. Parliamentary history."
123,"f Burnet, vol. i. p. 123, 124. t Herbert. Hall, fol. 205."
125,"E Herbert, p. 340, 341."
126,"I 24 Hen. VIII. c. 12. k Collier, vol. ii. p. 31. and Records, No 8."
126,I See note [E] at the end of the volume.
127,"m Heylin, P. 6. "" Burnet, vol. i. p. 134."
128,"o Herbert, p. 326. Burnet, vol. i. p. 132. PLe Grand,"
128,"vol. iii. p. 566. 491 Burnet, vol, ii. P. 133. Guiceiardini"
130,"1 Father Paul, lib. 1. Father P'ael, lib. 1."
132,a Le Neve's Fasti Eodles. Angl. w1*2s H. 8. c. 19.
132,"x Collier, vol. ii. p. 69,79."
134,"* Burnet, vol. i. p. 1,6. * 26 H. 8. c. 1"
142,""" See note [F] at the end of the volume."
144,"I Burpet, vol. i. p. 159."
145,* Sacrilegium est et impietas velle placere Deo per opera et non per solan
145,fidem. Luther adversus regem. Ita vides quam dives sit homo christizne
145,"sive baptizatus, qui etiam volens not potest perdere salutem suam quanti"
145,cunque peccatis. Nulla enim peccata possunt eum damnare nisi incredulita
145,Id. de captivitate Babylonica.
145,"f Hall, fol. 186. For, vol. i. p. 138. Burnet, vol. i. P. 159."
146,"E Articles of impeachment in Herbert. Burnet. h Fox. Burnet,"
146,vol. i. p. 165.
147,"I Burnet, vol. i. p. 161."
148,"* Strype, vol. i. p. 167. I Collier, vol, ii. p. 86. Burnet, vol. i"
148,"p 151. Stowe, p. 5f2."
150,"Stowe, P. 570. Blanquet's Epitome of Chronicles."
150,"yoi. i pea I Collier, val h . ae Strype,"
151,"P 25 Hen. VIII. c. 12. Burnet, vol. i. p. 149. Hall, fol. 220."
151,"§ Godwin's Annals, p. 53."
152,* Fuller's Church Hist. book 5. p. 203.
153,""" More's Life of Sir Thomas More. Herbert, p. 393."
155,"t Sanders, p. 148. Herbert, p. 350, 351."
157,"* Herbert, p. 43. Y Burnet, vol i. p. 192."
158,"* Bu Bellay, liv. 5. Herbert. Burnet, vol. ifi. in Coll. No 50."
164,"a 37 Hen. VIII. c. 28. b Burnet, vol. i. p. 194"
164,"It is pretended, see Hollingshed, p. 939, that ten thousand monks were"
164,"turned out on the dissolution of the lesser monasteries. If so, most of them"
164,must have been Mendicants: For the revenne could not have supported near
164,"that number, The Mendicants, no doubt, still continued their former pro-"
164,"session, I 37 Hen. VIII. e. 27"
169,"s Burnet, yol, i. P. 196."
172,"See note [G] at the end of the volume. I Burnet, vol. i. p. 202."
174,"Herbert, p. 384. * Heylin, p. 94."
176,"P Ibidem, p. 297. I Burnet, vol. i. p. 207. Strype, vol. i"
176,p.285.
177,"I The parliament, in annulling the king's marriage with Anne Boleyn,"
177,"gives this as a reason, ""For that his highness had chosen to wife the excel"
177,"lent and virtuous lady Jane, who for her convenient years, excellent beanuty."
177,"and pureness of flesh and blood, would be apt, God willing, to cenceive"
177,Issue by his highness.
179,"t Burnet, vol. i. p. 212."
