Page number,Footnote text
16,"* Burnet, vol. ii. p. 3173."
16,"Bume, I"
17,"* Burnet, vol. ii. p 374. * Ibld. Heylin, p. 102."
18,Fither P
18,"I Camdon in Kennet, p. 370. Burnet, vol. ii. p. 375"
19,"* Father Paul, lib. 5. I Strype's Ann. vol. i. p. 5."
20,uret
20,ftlin I
20,"Burnet, vol. ii. p. 377. Camsen, p. 370."
21,"h Burnet, vol. ii. p. 378. Camden, p. 371. I Heylin, p. 103."
21,"k Heylin, p. 104, Strype, vol. i. p. 41."
22,"crmetne I- Heylin, p. 104. Strype, vol. i. p. 54. Stowe, rse,"
22,"a Burnet, vol, ii. P. 380. Strype, vol. i. P. 2."
23,"n Notwithstanding the byass of the nation towards the protessant sect, it"
23,"hrpewsS, that some violence, at least according to our present ideas, was used"
23,in these elections: Five candidates were nominated by the court to each
23,boroE and three eaeh county ; and by the sheriffs authorty the members
23,were chosen from among these condidates. See state rapers collected by Edward.
23,"carl of Clarendon, p. 92."
23,"towe, p 645"
24,"P Camden, p. 372. Heylin, p. 107, 108."
24,*Er Sr* This last power was anew recognized in the act of uni-
24,formity. 1 Eliz. cap. 2.
25,he act of uni
25,11 Eliz. cep. 2
26,"§ Strype, vol. i, p. 79. !I Ibid. p. 95. "" 1 Eliz, cap. 2."
27,r ap *
27,w See note [A] at the end of the volume.
28,"*x Camden, p375. Sir Simon d' Ewes."
28,"y It is thought remarkable by Camden, that though this session was the"
28,"first of the reign, no person was attainted; hut sarthe wntrary. ome *"
28,"stored in blood by the parliament. A good symptom of the leniy, at dcai"
28,of the prudence of the queen's government ; and that it should appeat re-
28,"marlkable, is a proof of the rigour of precesing teigns."
28,frl variio
29,"* Camden, p.376. Heylin, p. 115. Strype, vol. i. p. 73. with some"
29,"small variations. * Heylin, p. 111."
30,"* Burnet, wora is. 376, 397. Camden, p. 371. "" Camden,"
30,"? 378. Strype, vol. i. p. 150 370"
31,t Camiety
31,""" Forbes's Full View, vol. i. p. 59. "" Forbes, vol. i. p. I"
32,"I Forbes, p. 68. Rymer, tom. xv. P. 505."
36,"* Keith,p"
36,ir Mewurd I
36,Keot Ie lol
37,"t Keith, p. 66. Knox, p. 101. h The reformers used at that time"
37,"ing Edwerd's litursy in Scodand. Forbes, p. 155. I Keith, p. 66."
37,"Knor, p. 101."
38,"Kno, M"
38,
38,"* Knox, p. 122."
39,"I Knor, p. 121. m Tbid, p. 123. Keith, P78"
39,"81, 2 "" Melvil's Memoirs, p. 24 Jeth, vol, ii p446."
40,* See note [B] at the end of the volume.
40,
41,"1 Spotswood, p. 121. Knox, p. 127. 1 Knor, p. 129."
42,"* Knox, p. 131."
42,
42,Iil
43,""" Keith, p. 85, 86, 87. Knox, p. 134. * Knox, p. 139."
43,"Y lbid. Spotswood, p. 113"
44,"; See note [C] at the end of the volume,"
44,"* Keith, P. S9. Knox, p. 58."
45,See note [D] at the end of the volume.
46,"Spotswood, p. 134. Thuan, lib. xxiv. .10"
46,"Forbes, vol. i. P. 159. Thuan, lib, xxiv. 13."
46,ee hot
47,See note [E] at the end of the volume
48,"Forbes, vol. i. p. 134, 136 149, 150, 159, 165, 181, 194, 229, 231,"
48,"a35—241, 253 5 Fotbes, yol. i. p. 387. Jebb, vol. i."
48,"p. 448. Keith, append. 24."
48,in. Haymyy
48,"ltyte, el."
49,", 94 ih"
49,"t8t, ebt,"
49,FAn
49,"Forbes, vol. i. p454, 400. i Spotswood, p. 146. k Knox,"
49,"P. 217. Haynes's State Popers, vol. i. p. 153. Rymer, tom. xv. p. 569."
49,"I Haynes, vol. i p. 256,257."
50,""" Haynes, vol. i. p. 223."
50,Rymer wol.
51,"""Rymer, vol. xv. p. 593. Keith, p. 137. Spotswood, p. 177. Kno"
51,"p. 229. o Forbes, vol. i. p. 354, 572. Jebb, vol. ii. p. 452"
52,"? Knox, p. 237, 238. I Ibid. p. 254."
55,"I Forbes, vol. i. p. 214. Throgmorton, about this time, unwilling to"
55,"entrust to letters the great secrets committed to him, obtained leave, under"
55,"some pretext, to come over to London,"
57,"s Goodall, yol i. p. 175."
59,"t Caballa, p. 374. Spotswood, p.177."
60,""" Keith, p. 179. Jebb, vol. ii. p. 483. v Buchan. lib. xvi,"
60,"c. 9. Spotswood, p. 178, 179. Keith, p. 180. Thvan. lib. xxix c. *"
62,"Knox, p. 287. y Ibid. p. 284, 285, 287. Spotswood, p. 179."
62,"* Keith, p. 179. 1hit. p. 2ca. 8 IMid. p. 18."
62,* Ibid. . 191.
62,12n
63,"iswood, I If"
63,"id, p. 189."
63,""" Knox, p. 292. Buchan. lib. xvii. c. 20. Haynes, vel i. p. 372"
63,"Keith, P. 202 f Knox, p.311, 312."
64,**
64,†194
64,"* Knox, p. 310. 1bid. p. 288. I Ibid. p. 326."
65,"! Knnt, †.332, 313. I Ibid. p. 322. m Ibid. p.330"
65,* Ibid. p. 294.
65,hif. pt
66,ter I lon
67,"? Knos, p. 301, 303, 304. Keith, p. 509. P Knox. IThid."
68,"a Knox, p. 336, 342. "" Keith, p. 202."
69,"s Knox, p. 296. Keith, p. 210."
70,"I Jebb, vol, ii. p. 456."
72,""" Buchanan, lib. xvii. c. 14—17. Camden, p. 385. Spotswood,"
72,"p. 180, 181. v Ibid. . 181. ! x Haynes, vol. i. p. ar"
73,Spaiwut
73,"Y Camde n, p. 388. Strype, vol. i. p. 230, 336, 317."
74,"* Haynes, vol. i. p. 233"
76,"Haynes, vol. i. p. 369, 378, 396. Camden, P. 389. Heylin, p. 154"
77,"* Strype, vol. i. p. 333. Heylin, p. 154."
77,"in, p I54"
79,". Thuanus, lib, xxiii. cap. 14."
80,"igger's """
81,"Digges's Complete Ambassador, p. 369. Haynes, p. 585. Strype,"
81,"vol, iv. No 246. : Haynes, vol. i P. 280, 28 1 53, 284."
82,"* Davila, lib, it."
83,"g Davila, Iib. iii. : h Father Paul, lib, vii. ; i Ibid."
83,"* Ibid. Haynes, p. 391."
84,"I Forbes, vol. ii. P. 48."
84,* forke i
85,"n Forbes, p. 54, 257. n Ibid. vol. ii. p. 199. * Ibid. p. 161."
86,"* Forbes, p. 320 Davila, lib, iii."
87,"I Forbes, yol. ii. p. 322, 347."
88,Sir Simon D'Ewes's Journ. p. 81.
89,""" Keith, p. 322."
90,"; Ste Stovon D'Ewes's Journal, P. 75. u 5 Eliz. c. 1."
90,""" Strype, vol. i. p. 260."
91,"*5 Eliz. c. 15. 7 1bid. c. 16. 4* Ferbes, vol, ii."
92,"* Forbes, vol, ii. P. 276, 277."
93,"* Forbes, vol. ii. p. 79. Ibid. p. 158."
94,"Forbes, vol. si. p. 377, 498. * Ibid. P. 450, 458."
94,! Ibid. P. 498. 6 Set note [F] at the end of the volume
94,"h Davi a, lib, 3."
95,"A Keith, p. 252. t* itia p. as I Haynes, P. 388."
96,"m Forbes, vol. ii, p. 287. Strype, vol. i. p. 400. * Keith,"
96,"p. 247, 284. Melvil, p. 42. 1 Feeith, †. 243, 249"
97,"a Camden, p. 396."
98,": K rith, 29, 270. Appendix, p. 158. Strype, vol. i. p. 414."
98,——
99,"* Melvil, p. 49, 50. u Keith, p. 264."
99,p44
100,"I atn . 261. a Ibid. p. 280, 282. Jebb, vol. ii. p. 46."
100,"Y Keith, p. 255, 259, 272. Melil, p."
101,"* Keith, p. 274,275. b Ibid, p. 290."
101,ii p .
102,"rwo - t I Father Paul, lib. vii. "" Keith,"
102,"1 † Ibid. p. 545. Knox, p. w74"
103,"* Keith, p. 550, 551. h Ibid. p. 546. Knox, p. 381."
103,"I Knox, P 5"
104,"a a 6] IS * the volusne. ; I Keith, p. 293, 294"
104,"ie , ' nes, P. 380. Keith, Appends p. 263. Amoerson"
104,"vol, iii. p. 194."
105,"* Knox, p. 381. * Ibid. p. 380,385. P Ibid. * 35"
106,"I Melvil. i i Knox, p. 388. Keith, p. 319. Crawford, p. 62, 63."
106,"* Melvil, . 6. * I8ld. F. 59, 80, 61, 51, 63. Keith, p. 32."
107,"* Keith, p. 325. Melvil, p. 65. a Davila, lib, iii."
108,"Y Melvil, P. 63 Keith's Append. p. 176. * Keith, p. 287,"
108,329. Append. p. 163.
109,"Ceth, †8h"
110,"Keith, p. 282, 302. Crawford's Memoirs. p. 5. Spotswood, p. 193."
110,: See note [HI at the end of the volume.
110,"* Keith, p. 326."
110,"Melvil, p. 64."
111,"b Buchanan, lib. xvii. c. 60. Crawford, p. 6. Spotswood, p. 194. Knox,"
111,". 793. Jebb, vol. i. p. 456. * Crawford, p.7."
111,"I Goodall, vol i. p. 266. Crawford, P. 7."
112,"e Melvil, p. 64. Keith, p. 330, 331. Crawford, p. 9."
113,"f Melvil, p 75, 76. Keith, p. 144. Knox, p.398"
113,"t Gooda'l, vol. i. p. 280. Keith Append. p. 167."
114,"* Melvil, p. 66, 67 I Ibid. p. 69, 70."
115,"k Camden, p. 397. I D'Ewes, p. 129."
115,* Ibid. p. 124.
