Page number,Footnote text
16,* Caesar. lib. 4.
17,"Diod. Sie. I. 4. Mela, lib. 3. cap. 6. Strabo lib. 4. † Don. Cassius. lib. 75."
17,I Cafar. lib. . I Il Tacit. Agr. * Caesar. lib. 6. Strabo. lib. 4
17,5; Plin. lib. 12. cap. 1.
18,* Caesar. lib. 6. † Sueton. in vita Claudii.
19,' Tacit. Agr. † Tacit. Ann. lib. 12.
20,* Tacit. Ann. lib. 14.
21,* Tacit. Agr.
21,† Tacit. Agr.
23,"* Gildas, Bede, lib. 1. cap. 12. Paull. Diacon. Alured. Beverl. p. 43. ex edit. Hearne"
23,"† Bede, lib. 1. cap. 12. Gul. Malm. p. 8. Ann. Beverl. p. 44."
23,"1 Bede, lib. 1. cap. 12. Ann. Beverl. p. 44."
24,"* Gildas, Bede, lib. 1. Ann. Beverl. p. 45."
24,"† Gildas, Bede, lib. 1. cap. 13. Malmesbury, lib. 1. cap. 1. Ann. Beverl p. 45."
24,"1 Chron. Sax. p. 11. Edit. 1692. II Ann. Beverl. p. 45. — Gildas, Bede, lib. 1. cap. 14"
25,"† Gildas, Bede, lib. 1. cap. 17. Constant. in vita Germ. Matth. West. anno 446. H. Hun-"
25,"ting. lib. 2. Ann. Beverl. p. 51. Spelm. Cone. P. 47, 48. † Gildas, Gul. Malm. p. 8."
26,* Casar. lib. 6. Tacit. de Mor. Germ. 1 Cuesar. Bis
26,. i Marcell. sin. 28. Orofsioes. I Amm. Marcell. lib. 27. cap. 7. t. 28. * 7
27,"I Saron Chromiele, p. 12. Gul. Malm. p. 11. Huntington, Iib. 2. p 9. Ethelwerd. Bromp-"
27,ton. p. 728.
28,"oI Chron. Sax. p. 12. Ann. Beyerl. P-49. 1† Bede. lib. 1. cap. 1S. Nennius, cap."
28,O I hede. iib. I cap. Gildas Saxon Chron. P. 12 I 3 Ana Beverl. P 50.
28,* Math. West. A. D. 454. Gul. Malm. p. 9. S Math. West. A D. 455. Saxon Chron
28,"P. 13. Nennius, cap. 46."
29,"x Bede. lib. 1. cap. I5. Usher. P. 226. Gildas, §. 24. 1 Nennius. Galfr. lib. 6. cap. 1"
29,"I Nennius, cap. . Galf. : II Stillingfleet's Orig. Britt. p 324, 325."
29,"§ Bede. lib. 1. cap. 15. Ethelwerd. p. 853. Edit Camdeni. Chron. Sax. p. H. Ann. Beverl,"
29,"p. 78. The inhabitants of Kent and the Isse of Wight were Jutes, Essex, Middsesex, Sarrey, Suffer,"
29,"and all the southern counties to Cornwal, were peopled by Saxons: Mercia and other parts of the"
29,kingdom were inhabited by Angles.
30,I Chron. Sax. p. 14. Ann. Bever. p. 81. a Son Frio in o om
30,3 h i * will. Malm. lib. 1. cap. 1. p. 12. Chron. Sax. p. 15
31,* Chron. Sax. p. 177? HI. FluningIIh. 2. Hthetwert lib. 1. ror S will. Miakm.
31,"I Gildas, Saxon Chron. H. Hunting. lib. 2."
31,shenet* ngdon a- 4 i iinuung iber TH. Hunng ib. *
31,"† Math. West. Huntingdon, lib. 2."
32,* Chron. Sax. p. 19. † Will. Malms. p. 19. 1 Ann. Beverl. p. 8.
33,"* Gildas. Bede, lib. 1."
34,"* Milton in Kennet, p. 50. * Chron. Sax. p. 21."
36,"* Greg. of Tours, lib. 9. cap. 26. H. Hunting. lib. 2."
36,"† Bede, lib. 1. cap. 25. Brompton, p. 729."
37,"1 Bede, lib. 2. cap. 1. Spell. Conc. p. 91. * Bede, lib. 1. cap. 23."
37,† Greg. Epist. ib. 9. epist. 56. Spell. Conc. p. 82.
38,* Higden Polychron. lib. 5. Chron. Sax. E
38,5 Wilunme lib.3 rompton. p. 729. Parker Antiq Brit. Eccl. p. 61.
38,1 Bade. lib cap. 25. Chron. w. Thom. P1759
38,"ee de, hib is H. Hunting. lib. Erompton, f JY"
38,e ae heie lib. eap. 38. †1. Hanting i 19
39,"* Bede, lib. 1. cap 32. Brompton, p. 732. Spell. Conc. p. 86"
39,"† Bede, lib. 1. cap. 27. Spell. Conc. p. 97,98. 99, &c."
39,"1 Augustine asks, S mulier menstrua consuetudine tenetur, an ecclesiam intrare i licet, aut sacree com-"
