Page number,Footnote text
18,* Rush. vol. vi. p. 560.
19,"b Rush. vol. vi. p. 559. Hem, pt. s 6 514 515."
20,"I Rush. vol. vi. p. 590. * Duyg dale, p. 119. Rush. vol. vi. p. 748."
21,"I Clarendon, vol. lii. p. 442. Rush. vol. vi. p. 566, Whitlocke, p. 77."
22,"& Clarendon, vol. iii. p. 444. Rush. vol. vi. 1. 69, 570. Whitlocke,"
22,"p94. h Clarendon vol. iii. p. 49. Whitlocke, p. 79."
22,I Ibid. p 66.
23,k Journ. 13th of February 1645.
23,m sbid. p. 301.
24,"Rush. vel. vi. p. rs Idem, ibid. p. 618. p Idem,"
24,ibid. p. 60. 29th of March.
25,""" Rush, vol. i. p. 306. ?21st of March. Raush. vol, vi. p. 621"
26,Rush. vol. vi. P. 321.
27,1 506. Y Rush. part 3. vol. ii. p. 633.
28,"* Rush. vol. vi. p. 632. Whitlocke, p. 89"
30,"""Rush. vol. vi. p. 638."
30,"I Whitlocke, p. 88. : ; Rush. al *"
31,f Rush. vol. vi. p. 662. 2;4d of Jene.
32,"h Rush. vol. vi. *. 6. I Clarendon, vol. v. p. 497. Sir Ed. Walke"
32,"'s a 11 ! a yor- vi. p. 699 *e. Whitlocke, oy Claren"
32,"don, vol. v. P. 524, 525. Sir Edw. Walker, p. 69, 70, &c."
33,"k Rush. vol. vi. p. 721, &c."
34,"I Rush, vol. vii. p. 1."
38,""" Clarendon, yol. v. p. 561. Idem ibid. p. ie"
39,"o Clarendon, vol. v. p. 562. P Idem ibid. p. 565."
40,"I Rushworth, vol. vi. P. 364."
43,"* Whitlocke, p. 114, 115. Rush. vol. vii. p. 6."
44,"! Whitlocke, p. 118. Rush. vol."
44,"vii. p. 7. "" Whitlacke, P.1 3s."
45,"w Clarendon, vol. v. p. 629, 630. Whitlocke, p. 141."
46,"x 4th of July, 1644. y 8th of Sept. 1644. 2 Dugdale,"
46,"P 737. Rush. vol. vi. p. 850. * Whitlocke, P. 110."
47,"b Whitloeke, p. 111. Dugdale, p. 748. ""His words are,"
47,"""As for my culling those at London a parliament, I shall refer thee to Digby"
47,""" for cartieqlar satisfaction; this in general : If there had been but two"
47,"bondes myself, of my opinion, I had not done it; and the argument, that"
47,""" prevailed with me was, that the calling did no ways acknowledge them to"
47,"be a parsiament; upor which condition and construction I dia it, and no"
47,"II otherwise; and accordingly it is registered in the council books, with the"
47,"council's unanimous approbation."" The kin¬'s cabinet opened. Rush."
48,e Such love of con-
48,"tradiction prevailed in the parliament, that they had converted Christmas,"
48,"which, with the churchmen, was a great festival, into a solemn fast and"
