Page number,Footnote text
17,"Bacon in Kennet's compleat History, p.579. 1† Bacon, p. 579."
17,"mpleat History, p. 579. T Bacon, P. 579"
19,"* Bacon, p. 579. Polydore Virgil, p. 565."
20,"* Polydore Virgil, p. 567"
21,"Jacon, P. 581. † Rot. Parl. 1 Hen. VII. n. 2 31415, 17, 2665. I Bacon, p.581"
22,"* Bacon, p. 581."
23,"I Polydore Virgil, p. 566."
24,"* Bacon, p. 582. Bacon adds, that the King's reason for these gradual promotions, was in or er"
24,"ere rhe mo firs fruits; not reflecting that these belonged not to the crown, till after the"
24,reformation.
25,"' Polydore Virgil, p. 569."
26,"* Bacon, p. 583. † Polydore Virgil, p. 569,570."
27,"* Folydore Virgil, p. 570."
28,"* Bacon, p. 583. Polydore Virgil, p. 571."
30,"* Polydore Virgil, p. 572,573"
31,"* Bacon, p. 586. Pol. Virg. p. 574."
33,Polyd Virg. p.575.
36,"* Bacon, p. 589."
39,"* sen Hist. de Bretagne, Liv. 12. † 9th November, 1487."
39,"† Polydore Virgsl. p. 579, says that this imposition was a capitation thy; the p historians say"
39,it was a tay of two shillings on the pound
40,"† Bacon, p. 595. : * Du Tillet, Recueil des Traitea"
44,"* Rymer, Vol. XII. p. 446. Bacon says that the benevolence was levied with consent of Parlia-"
44,"ment, which is a mistake"
45,"* Bacon, p. 601."
47,"' Bacon, p. 605. Pol. Virg. p.586."
48,"* Bacon, p. 606. 1 Polyd. Virg. p.580."
50,"* Bacon, p. 608."
52,"* Polydore Virgil, p. 1 † Bacon, p. 611. Polyd. Virg. p. 595."
54,"* Polydore Virgil, p. 595."
57,"* Bacon, p. 615. Pol. Virg. p. 596, 597."
58,"* Polydore Virgil, p. 598."
61,"* Polydore Virgil, p. 601."
62,"* Polydore Virgil, p. 603."
64,"* Polydore Virgil, p. 606."
69,"* Bacon, 629, 30. Hollingshed, P. 504. Polyd. Virg. p. 613, 615."
73,"Bacon, p3s 1† Rymer, vol. 13. p. 142."
75,* Rot. Parl. 3. H. 7. n. 17(2. † 3. H. 7. cap. 1.
76,JIIH 7. cap. 12. 3 H.7. cap. 2. § 4 H. 7. cap. 13. I11 H.7 cap 1s
76,HIL. cap. 4 1 H. 2 cap. 3. : 11 5 H. 7. cap. 1 11 3 H. 7. cap. I &1
76,7. cap. 3 19 H. . cap 1 55 3 H.;. cap. 12. 11 H. 7. cap. 25
77,T4H. 7. cap. * I3H. 7. cap. 5. §3H. 7. cap. 6. II 7 H.7. cap 5.
78,* Poly(. Virg. † 4H. 7. cap. 23. 13 H.7. cap.8. § 11 H. 7. cap. 13. 3
78,7 cap 1. * 4H.. cap. S. †1 4HH.]7. cap. 9. † 11 H. 7. 6ap. 22. 88 41
78,cap. S. IIll 11 H. 7. cap. 22.
79,* TH.7. cap. 17. J1TH. 7. cap. 11. 12H. 7. cap 1. § 4H.7. cap. 1
79,oI 19H. 7 cap. 7. * 19 H. 7. cap. s. 119 H. 7. cap. 18. it 12 H. 7. cap. 6.
80,"* Rymer, vol. XIII. p. 37. † Stowe, p. 484."
84,"* T. Meorl, Lucubr. p. 182. † Father Paul, lib. 1. I Herbert, Stow, p. 486. Holling-"
84,"shed, p. 799. 5 Lord Herbert."
85,"† Lord Herbert. Hesbert, Stow, p. 486. Holfingshed, p 799. Tol. Virg. lib."
88,* In 1508.
