Page number,Footnote text
12,"* Kennet, p. 662."
13,"* Wilson in Kennet, p. 665s.. Wilson in Kennet, p. 662"
14,"* Keniet, p. 663."
15,"1 Monsie r de ia Boderie, the French leaguer, ambassador at that time in England, ascribes the"
15,virtue of openness and sincerity to the King. I natkre du Roi est assex ouvert. Vol. i. P. 120
15,"I Winwood, vol. ii. P 55. ; I Sually's Memoirs."
16,"* State Trials, p. 180. Winwood, vol, il. p. 8, 11. Second Edition. † November9"
16,"1 December s. December 9y. h Winwood, vol. ii. p. 11."
17,"* State Trials, first edit. p. 176, 177, 182. 1† Fuller, book x. Collier, vol. ii. eTe"
20,"* K. James's Works, p. 484. 485, &c. Journ. 22d March, 1603. Kennet, p. 668."
20,"1 K Jimey Works, p. 495. 496. . 1 Journ. 19th January, 1580."
20,"i Journ. March, 18, I 580. See farther, D'Ewes, P. 430"
23,"""Camden in Kennet, p. 375. † Jlourn. 29th March, 5th April, 1604 I lourn"
23,"30th March, 1604. S Id. ibid. Id. ihid."
25,"* Abhat time, men of genius and of enlarged minds had adopted the ireiples of hyerty. ween"
25,! : h generality of he people. Sir Mathew Heles * r
25,a aare healnit he King s conduct towsras the Parllament during thie fesron. The re
25,15 1 et rh or eine o a ipiie of liberty I and was the *eorust f
25,"re r cain Sanaye, two mew of the greavest parts and Enowlege ery"
25,"o e nmcie of the Parliament) but as there is no hint of it in the Jour als, we feust con-"
25,a e sishers. sensiple that the Main of the plece was much bevond the principles f
25,"n or rer ne Hoose, o hat it had been, for thes reasan, resechas by"
25,ae e dseley ane aucherity of the Commons are strongly jusited upow in this remou tramee;
25,* e r n Asion the iil meatment whi eh shey received * n 1
25,i a Elfabeths regns has roceeed srom ther endernes ouards r age and herfexe het he
27,"† Journ. 30th April, 1604. I Journ. 21st April, 1st May, 1604. Parliamentary History,"
27,"vol v. p or1. I Journ 7th June, 1604. K nnet, p. 673."
28,"* Parliamentary History, vol. v. p. 108. † Journ. 26th June, 1604. ; i Parliamen-"
28,"tary History, vol. v. p 98, 99 100."
30,"† State Trials, vol. i. p. 201, 202, 203. Winwood, vol. ii. p. 49."
31,"† History of the Gun-powder Treason. † State Trials, vol. p. 190, 198, 210"
33,"James's Works, P. 227. 1 Id. p. 229. 1 Id. ibid. II Ibid. p. 230."
33,"5 Winwood, vol. ii. p. 173."
34,"ii Wiswood, ol. l †. J0a. * hr &c. p. 69, 70."
36,"† Kennet, p. 676. 1 Journ. 20th May, 1606."
37,"* lourn. 5th April, 1606. † Kennet, p. 676. II K. James's Works, p. 509."
39,"Journ, 2d, 14th December, 3th March, 1606, esfhy 26uh June, 1607y. f sJoumm. 2dun I'e"
39,"t Journ. 16th, 17th June,"
39,"pruzy, 4th, 7h March, 1606. 2d May, 17th June, 1607."
39,"* Jrrt teh meoruny. 1606. I Journ. 3d July, 1607. aon"
43,"winwood, vol. ii. p. 438. 1 Journ. 18th April, 5th and 10th May, 1614, &c. 20th"
43,"February, 1625."
45,""" Tarliament. Hist. vol. v. p. 50. † Journ. 12th May, 1614. I Journ. 2d, 11t"
45,"December; 5th March, 160s. † Parliament. Hist vol. v.p. 247. Kennet, p. oar."
48,"† Kennet, p. 684."
48,"† Kennet, p. 684. TH. p. 715."
49,"† K. James's Works, p. 355."
50,"* Kennet, p. 685. Camden's Britt. vol. i. p. 370. Gibson's edit. 1""r 59. edit. 1613."
50,"II Sir John Davis, p. 166."
51,"* Sir John Davis, p. 167. † Id p. 173. 1 ld. p. 237. II Id. p. 263."
51,"§ Id. p. 264, 265, &c. I Id. p. 76."
