Page number,Footnote text
18,""" November 29. † December 5. † December9."
24,"* Journ. January, 17. 1580. † Journ. March, 18. 1580."
25,Sar Simon D'ewes's journal. p. 397.
25,35. H. vi. Journ. Feb. 8. 1580. II Jan. 11. 1604.
31,"* 23d of June, 1603."
45,"* Beside the great dissipation of the crown-lands, the fee farm rents never increased, and the other"
45,"lands were let at long leases and at a great undervalue, little or nothing above the old rent."
58,"ship Who must soon, said he, have chief authority in England, where the king and queen are held"
58,in so little estimation. See Dep. de la Boderie.
66,"* 14th of May 1612. † Coke's institutes, part 4. chap.1. of charters of exemption."
71,"* Rymer, tom. xvi. p. 341."
76,* 1598. † 1606.
79,* 1596. † 17th Dec. 1596. 7† July 1604. - 6th of June 1610
80,* 15th of Feb. 1610.
85,"I Some of the facts, in this marration, which seem to condemn Raleigh, are taken from the"
85,"King's declaration, which being published by authority, when the facts ieere recunt eing e"
85,"stom examinations before the privy council, and subseribed by fix ccuniessues, amone whou was"
85,"AEoor Archbishop of Canterbury, * prelate no way complaisot o he cour mist e"
85,* great weight. Yet the most material facts are consirmed either fyihe napute ynd sexi oEEl
85,"thing, or by Sir Walter's own apology and his letters. The King's vindication is in the Harleyan"
85,"miscellany, Vol. 3. No. 2."
85,"* There seems to be an improbability, that the Spaniards, who knew nothing of Raleigh's pre-"
85,"tended mine should have buile a town, in so wide a east witiin three aniles of it. Ti ha"
85,"*eremelr againt such a si apposition And it is move t aturalto think, thar the riew of haderin ,"
85,"the town led him thither, than that of working a mine. 2. No sach mine is there found to this"
85,"Say. a s Raleigh in fact found no mine, and in fact he plundexed and humed a Spanish tov I Is it"
85,"not more probable, therefore, that the latter was his intention? How can the secrets of his breast be"
85,"rendered so visible as to counterpoise certain sacts? He confesser, in his i te Coa"
89,* T1610.
97,* One of them is to this purpose. The vintners in London refused to give above a certain price
97,for wines. The merchants complained to the council. The King made a reference to the chancel-
97,"lor. He orlered the vintners to give the price demanded by the merchants, and imprisoned two or"
98,"three of the most obstinate, till they complied. For his pains, he received a present of doe"
