Page number,Footnote text
14,*M Paris. p. 623.
15,* M.Paris. p. 200. Hist. Croys. Cont p 474. W. Heming. p. 562. Trevet p. 168.
15,M. Paris. p. 200. : 1 Rymer. Vol 1. p. 215.
17,"* Rymer. vol. 1. P. 215. Brady's App. N*"" 143. † M. Paris. p. 200, 202. † M. Paris."
17,200. M. West. p. 277. Chron. Dunst. vol. 1. p. 79. M. West. p. 277. M. Parss.
17,p. 203. † Chron. Dunst. vol. 1. p. 81.
18,"1 M. Paris. p. 2064, 205. Chron de Mullr, p. 195. * M. Paris. p. 206. Ann. Warerl. p. 184."
18,W. Heming. P.563. Trevet. P. 169. M. West p. 277. Kayghton p 2428 Rymertiol
18,22 M. Paris. p. 207. Chron. Dunst. vol. 1. p. 85. M. Weit. 8. Knyghton p. 2429.
19,aris. p. 256. Shron. Durs Yolp 9* † Brady's App. Ne. 144. Chron
19,Dunst. vol. 1.p. 83. 1 M. Puris. p. 210.
20,1 Rymer. vol. 1. p. 276. 1 Chron. Dunst vol 1. p. 102.
20,"§ Rymer. vel. 1. p. 298. M. Paris. p. 221, 224. Ann. Waverl. p. 188. Chron. Dunst. vol. 1. p."
20,"141, 146. M. West. p. 283."
21,"* M. Paris. p. 217, 218, 259. Annal. Waverl. p. 187. Chron. Dunst. vol. 1. p. 129. T"
21,West. p. 282. 1M. Paris. p. 223. Ann. T. Wykes. p. 40. Chron. Dunst. vol. 1. p. 15
21,M. West. p. 284. Knyghton. p. 2459. S Claus. 9. H. 3. m. 9; and m. 6. d.
22,* aris p. 220. † Chron. Dunst. vol. 1. P. 137. TM. Paris. p. 221. Chron Dunst
22,vol. 1. p. 138. 5 Coke's Comment. on Mag. Charta. chap 17
23,* Eyer. vol. 1. p. 269. Trivet. p. 179. †M. Paris. p. 233. I M. Paris. p. 233.
23,M. Paris. P. 233.
24,Ypod. Neustriee. p. 464 a P. 232. M. West. p. 216. ascribes this council to Peter Bi-
24,shop of Winchester. TM. Paris. P. 259.
25,"* M. Paris. p. 259, 260, 261, 266. Chron. T. Wykes. p. 41, 42. Chron. Dunst. vol. 1. p. 220,"
